"id","availability_day_id","start_time","end_time"
84,58,"00:00","10:30"
85,58,"00:00","10:30"
86,59,"00:00","00:00"
87,59,"00:00","00:00"
88,60,"00:00","20:00"
89,60,"00:00","20:00"
90,61,"00:00","00:00"
91,61,"00:00","00:00"
92,62,"00:00","00:00"
93,62,"00:00","00:00"
94,63,"00:00","00:00"
95,63,"00:00","00:00"
96,64,"00:00","00:00"
97,64,"00:00","00:00"
98,58,"00:00","10:30"
99,59,"00:00","00:00"
100,60,"00:00","20:00"
101,61,"00:00","00:00"
102,62,"00:00","00:00"
103,63,"00:00","00:00"
104,64,"00:00","00:00"
105,58,"00:00","10:30"
106,59,"00:00","00:00"
107,60,"00:00","20:00"
108,61,"00:00","00:00"
109,62,"00:00","00:00"
110,63,"00:00","00:00"
111,64,"00:00","00:00"
112,58,"00:00","10:30"
113,59,"00:00","00:00"
114,60,"00:00","20:00"
115,61,"00:00","00:00"
116,62,"00:00","00:00"
117,63,"00:00","00:00"
118,64,"00:00","00:00"
119,58,"00:00","10:30"
120,59,"00:00","00:00"
121,60,"00:00","20:00"
122,61,"00:00","00:00"
123,62,"00:00","00:00"
124,63,"00:00","00:00"
125,64,"00:00","00:00"
126,58,"00:00","10:30"
127,59,"00:00","00:00"
128,60,"00:00","20:00"
129,61,"00:00","00:00"
130,62,"00:00","00:00"
131,63,"00:00","00:00"
132,64,"00:00","00:00"
133,58,"00:00","10:30"
134,59,"00:00","00:00"
135,60,"00:00","20:00"
136,61,"00:00","00:00"
137,62,"00:00","00:00"
138,63,"00:00","00:00"
139,64,"00:00","00:00"
140,58,"00:00","10:30"
141,59,"00:00","00:00"
142,60,"00:00","20:00"
143,61,"00:00","00:00"
144,62,"00:00","00:00"
145,63,"00:00","00:00"
146,64,"00:00","00:00"
147,58,"00:00","10:30"
148,59,"00:00","00:00"
149,60,"00:00","20:00"
150,61,"00:00","00:00"
151,62,"00:00","00:00"
152,63,"00:00","00:00"
153,64,"00:00","00:00"
154,58,"00:00","10:30"
155,59,"00:00","00:00"
156,60,"00:00","20:00"
157,61,"00:00","00:00"
158,62,"00:00","00:00"
159,63,"00:00","00:00"
160,64,"00:00","00:00"
161,58,"00:00","10:30"
162,59,"00:00","00:00"
163,60,"00:00","20:00"
164,61,"00:00","00:00"
165,62,"00:00","00:00"
166,63,"00:00","00:00"
167,64,"00:00","00:00"
168,58,"00:00","10:30"
169,59,"00:00","00:00"
170,60,"00:00","20:00"
171,61,"00:00","00:00"
172,62,"00:00","00:00"
173,63,"00:00","00:00"
174,64,"00:00","00:00"
175,58,"00:00","10:30"
176,59,"00:00","00:00"
177,60,"00:00","20:00"
178,61,"00:00","00:00"
179,62,"00:00","00:00"
180,63,"00:00","00:00"
181,64,"00:00","00:00"
182,58,"00:00","10:30"
183,59,"00:00","00:00"
184,60,"00:00","20:00"
185,61,"00:00","00:00"
186,62,"00:00","00:00"
187,63,"00:00","00:00"
188,64,"00:00","00:00"
189,58,"00:00","10:30"
190,59,"00:00","00:00"
191,60,"00:00","20:00"
192,61,"00:00","00:00"
193,62,"00:00","00:00"
194,63,"00:00","00:00"
195,64,"00:00","00:00"
196,58,"00:00","10:30"
197,59,"00:00","00:00"
198,60,"00:00","20:00"
199,61,"00:00","00:00"
200,62,"00:00","00:00"
201,63,"00:00","00:00"
202,64,"00:00","00:00"
